iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,alias,lowstart,lowend
ABW,North America,Aruba,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,76.29,Aruba,6,8
AFG,Asia,Afghanistan,38928341,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,Afghanistan,7,9
AGO,Africa,Angola,32866268,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,Angola,7,9
AIA,North America,Anguilla,15002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.88,Anguilla,6,8
ALB,Europe,Albania,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,Albania,6,8
AND,Europe,Andorra,77265,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,Andorra,6,8
ARE,Asia,United Arab Emirates,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,UAE,7,9
ARG,South America,Argentina,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,Argentina,7,9
ARM,Asia,Armenia,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,Armenia,7,9
ATG,North America,Antigua and Barbuda,97928,231.845,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,Antigua+Barbuda,6,8
AUS,Oceania,Australia,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,Australia,12,2
AUT,Europe,Austria,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,Austria,6,8
AZE,Asia,Azerbaijan,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,Azerbaijan,7,9
BDI,Africa,Burundi,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,NA,NA,6.144,0.8,61.58,Burundi,7,9
BEL,Europe,Belgium,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,81.63,Belgium,6,8
BEN,Africa,Benin,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,Benin,7,9
BES,North America,Bonaire Sint Eustatius and Saba,26221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.79,Bonaire St Eustatius+Saba,6,8
BFA,Africa,Burkina Faso,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,Burkina Faso,10,12
BGD,Asia,Bangladesh,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,Bangladesh,7,9
BGR,Europe,Bulgaria,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,Bulgaria,6,8
BHR,Asia,Bahrain,1701583,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,Bahrain,7,9
BHS,North America,Bahamas,393248,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,Bahamas,6,8
BIH,Europe,Bosnia and Herzegovina,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,Bosnia+Herzegovina,6,8
BLR,Europe,Belarus,9449321,46.858,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,74.79,Belarus,6,8
BLZ,North America,Belize,397621,16.426,25,3.853,2.279,7824.362,NA,176.957,17.11,NA,NA,90.083,1.3,74.62,Belize,6,8
BMU,North America,Bermuda,62273,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,Bermuda,6,8
BOL,South America,Bolivia,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,Bolivia,7,9
