"","faa","name","tz","dst","tzone"
"1","04G","Lansdowne Airport",-5,"A","America/New_York"
"2","06A","Moton Field Municipal Airport",-6,"A","America/Chicago"
"3","06C","Schaumburg Regional",-6,"A","America/Chicago"
"4","06N","Randall Airport",-5,"A","America/New_York"
"5","09J","Jekyll Island Airport",-5,"A","America/New_York"
"6","0A9","Elizabethton Municipal Airport",-5,"A","America/New_York"
"7","0G6","Williams County Airport",-5,"A","America/New_York"
"8","0G7","Finger Lakes Regional Airport",-5,"A","America/New_York"
"9","0P2","Shoestring Aviation Airfield",-5,"U","America/New_York"
"10","0S9","Jefferson County Intl",-8,"A","America/Los_Angeles"
"11","0W3","Harford County Airport",-5,"A","America/New_York"
"12","10C","Galt Field Airport",-6,"U","America/Chicago"
"13","17G","Port Bucyrus-Crawford County Airport",-5,"A","America/New_York"
"14","19A","Jackson County Airport",-5,"U","America/New_York"
"15","1A3","Martin Campbell Field Airport",-5,"A","America/New_York"
"16","1B9","Mansfield Municipal",-5,"A","America/New_York"
"17","1C9","Frazier Lake Airpark",-8,"A","America/Vancouver"
"18","1CS","Clow International Airport",-6,"U","America/Chicago"
"19","1G3","Kent State Airport",-5,"A","America/New_York"
"20","1G4","Grand Canyon West Airport",-7,"A","America/Phoenix"
"21","1H2","Effingham Memorial Airport",-6,"A","America/Chicago"
"22","1OH","Fortman Airport",-5,"U","America/New_York"
"23","1RL","Point Roberts Airpark",-8,"A","America/Los_Angeles"
"24","23M","Clarke CO",-6,"A","America/Chicago"
"25","24C","Lowell City Airport",-5,"A","America/New_York"
"26","24J","Suwannee County Airport",-5,"A","America/New_York"
"27","25D","Forest Lake Airport",-6,"A","America/Chicago"
"28","29D","Grove City Airport",-5,"A","America/New_York"
"29","2A0","Mark Anton Airport",-5,"A","America/New_York"
"30","2B2","Plum Island Airport",-5,"A","America/New_York"
"31","2G2","Jefferson County Airpark",-5,"A","America/New_York"
"32","2G9","Somerset County Airport",-5,"A","America/New_York"
"33","2H0","Shelby County Airport",-6,"A","America/Chicago"
"34","2J9","Quincy Municipal Airport",-5,"A","America/New_York"
