"","year(Date)","states","peak","region"
"1",2003,"Alabama",13854,"alabama"
"2",2003,"Alaska",-Inf,"alaska"
"3",2003,"Arizona",12225,"arizona"
"4",2003,"Arkansas",-Inf,"arkansas"
"5",2003,"California",12660,"california"
"6",2003,"Colorado",5741,"colorado"
"7",2003,"Connecticut",9496,"connecticut"
"8",2003,"Delaware",-Inf,"delaware"
"9",2003,"District.of.Columbia",6681,"district of columbia"
"10",2003,"Florida",6001,"florida"
"11",2003,"Georgia",9060,"georgia"
"12",2003,"Hawaii",5302,"hawaii"
"13",2003,"Idaho",-Inf,"idaho"
"14",2003,"Illinois",9191,"illinois"
"15",2003,"Indiana",7753,"indiana"
"16",2003,"Iowa",7095,"iowa"
"17",2003,"Kansas",4336,"kansas"
"18",2003,"Kentucky",7862,"kentucky"
"19",2003,"Louisiana",9333,"louisiana"
"20",2003,"Maine",-Inf,"maine"
"21",2003,"Maryland",9085,"maryland"
"22",2003,"Massachusetts",6144,"massachusetts"
"23",2003,"Michigan",9607,"michigan"
"24",2003,"Minnesota",7940,"minnesota"
"25",2003,"Mississippi",-Inf,"mississippi"
"26",2003,"Missouri",5694,"missouri"
"27",2003,"Montana",-Inf,"montana"
"28",2003,"Nebraska",7106,"nebraska"
"29",2003,"Nevada",11444,"nevada"
"30",2003,"New.Hampshire",8687,"new hampshire"
"31",2003,"New.Jersey",9954,"new jersey"
"32",2003,"New.Mexico",-Inf,"new mexico"
"33",2003,"New.York",9869,"new york"
"34",2003,"North.Carolina",11819,"north carolina"
"35",2003,"North.Dakota",-Inf,"north dakota"
"36",2003,"Ohio",10247,"ohio"
"37",2003,"Oklahoma",17538,"oklahoma"
"38",2003,"Oregon",7200,"oregon"
"39",2003,"Pennsylvania",9074,"pennsylvania"
"40",2003,"Rhode.Island",-Inf,"rhode island"
"41",2003,"South.Carolina",14142,"south carolina"
"42",2003,"South.Dakota",-Inf,"south dakota"
"43",2003,"Tennessee",8602,"tennessee"
"44",2003,"Texas",4828,"texas"
"45",2003,"Utah",5897,"utah"
"46",2003,"Vermont",-Inf,"vermont"
"47",2003,"Virginia",10181,"virginia"
"48",2003,"Washington",10349,"washington"
"49",2003,"West.Virginia",-Inf,"west virginia"
"50",2003,"Wisconsin",11868,"wisconsin"
"51",2003,"Wyoming",-Inf,"wyoming"
"52",2004,"Alabama",4680,"alabama"
"53",2004,"Alaska",1268,"alaska"
"54",2004,"Arizona",4699,"arizona"
"55",2004,"Arkansas",2906,"arkansas"
"56",2004,"California",3923,"california"
"57",2004,"Colorado",1505,"colorado"
"58",2004,"Connecticut",3084,"connecticut"
"59",2004,"Delaware",-Inf,"delaware"
"60",2004,"District.of.Columbia",4379,"district of columbia"
"61",2004,"Florida",2610,"florida"
"62",2004,"Georgia",2814,"georgia"
