iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older
ABW,North America,Aruba,106766,584.8,41.2,13.085,7.452
AFG,Asia,Afghanistan,38928341,54.422,18.6,2.581,1.337
AGO,Africa,Angola,32866268,23.89,16.8,2.405,1.362
AIA,North America,Anguilla,15002,NA,NA,NA,NA
ALB,Europe,Albania,2877800,104.871,38,13.188,8.643
AND,Europe,Andorra,77265,163.755,NA,NA,NA
ARE,Asia,United Arab Emirates,9890400,112.442,34,1.144,0.526
ARG,South America,Argentina,45195777,16.177,31.9,11.198,7.441
ARM,Asia,Armenia,2963234,102.931,35.7,11.232,7.571
ATG,North America,Antigua and Barbuda,97928,231.845,32.1,6.933,4.631
AUS,Oceania,Australia,25499881,3.202,37.9,15.504,10.129
AUT,Europe,Austria,9006400,106.749,44.4,19.202,13.748
AZE,Asia,Azerbaijan,10139175,119.309,32.4,6.018,3.871
BDI,Africa,Burundi,11890781,423.062,17.5,2.562,1.504
BEL,Europe,Belgium,11589616,375.564,41.8,18.571,12.849
BEN,Africa,Benin,12123198,99.11,18.8,3.244,1.942
BES,North America,Bonaire Sint Eustatius and Saba,26221,NA,NA,NA,NA
BFA,Africa,Burkina Faso,20903278,70.151,17.6,2.409,1.358
BGD,Asia,Bangladesh,164689383,1265.036,27.5,5.098,3.262
BGR,Europe,Bulgaria,6948445,65.18,44.7,20.801,13.272
BHR,Asia,Bahrain,1701583,1935.907,32.4,2.372,1.387
BHS,North America,Bahamas,393248,39.497,34.3,8.996,5.2
BIH,Europe,Bosnia and Herzegovina,3280815,68.496,42.5,16.569,10.711
BLR,Europe,Belarus,9449321,46.858,40.3,14.799,9.788
BLZ,North America,Belize,397621,16.426,25,3.853,2.279
BMU,North America,Bermuda,62273,1308.82,NA,NA,NA
BOL,South America,Bolivia,11673029,10.202,25.4,6.704,4.393
BRA,South America,Brazil,212559409,25.04,33.5,8.552,5.06
BRB,North America,Barbados,287371,664.463,39.8,14.952,9.473
BRN,Asia,Brunei,437483,81.347,32.4,4.591,2.382
BTN,Asia,Bhutan,771612,21.188,28.6,4.885,2.977
BWA,Africa,Botswana,2351625,4.044,25.8,3.941,2.242
CAF,Africa,Central African Republic,4829764,7.479,18.3,3.655,2.251
CAN,North America,Canada,37742157,4.037,41.4,16.984,10.797
CHE,Europe,Switzerland,8654618,214.243,43.1,18.436,12.644
CHL,South America,Chile,19116209,24.282,35.4,11.087,6.938
CHN,Asia,China,1439323774,147.674,38.7,10.641,5.929
CIV,Africa,Cote d'Ivoire,26378275,76.399,18.7,2.933,1.582
CMR,Africa,Cameroon,26545864,50.885,18.8,3.165,1.919
COD,Africa,Democratic Republic of Congo,89561404,35.879,17,3.02,1.745
COG,Africa,Congo,5518092,15.405,19,3.402,2.063
COL,South America,Colombia,50882884,44.223,32.2,7.646,4.312
COM,Africa,Comoros,869595,437.352,20.4,2.963,1.726
CPV,Africa,Cape Verde,555988,135.58,25.7,4.46,3.437
CRI,North America,Costa Rica,5094114,96.079,33.6,9.468,5.694
CUB,North America,Cuba,11326616,110.408,43.1,14.738,9.719
CUW,North America,Curacao,164100,362.644,41.7,16.367,10.068
CYM,North America,Cayman Islands,65720,256.496,NA,NA,NA
CYP,Europe,Cyprus,875899,127.657,37.3,13.416,8.563
CZE,Europe,Czech Republic,10708982,137.176,43.3,19.027,11.58
DEU,Europe,Germany,83783945,237.016,46.6,21.453,15.957
DJI,Africa,Djibouti,988002,41.285,25.4,4.213,2.38
DMA,North America,Dominica,71991,98.567,NA,NA,NA
DNK,Europe,Denmark,5792203,136.52,42.3,19.677,12.325
DOM,North America,Dominican Republic,10847904,222.873,27.6,6.981,4.419
DZA,Africa,Algeria,43851043,17.348,29.1,6.211,3.857
ECU,South America,Ecuador,17643060,66.939,28.1,7.104,4.458
EGY,Africa,Egypt,102334403,97.999,25.3,5.159,2.891
ERI,Africa,Eritrea,3546427,44.304,19.3,3.607,2.171
ESH,Africa,Western Sahara,597330,NA,28.4,NA,1.38
ESP,Europe,Spain,46754783,93.105,45.5,19.436,13.799
EST,Europe,Estonia,1326539,31.033,42.7,19.452,13.491
ETH,Africa,Ethiopia,114963583,104.957,19.8,3.526,2.063
FIN,Europe,Finland,5540718,18.136,42.8,21.228,13.264
FJI,Oceania,Fiji,896444,49.562,28.6,6.224,3.284
FLK,South America,Falkland Islands,3483,NA,NA,NA,NA
FRA,Europe,France,65273512,122.578,42,19.718,13.079
FRO,Europe,Faeroe Islands,48865,35.308,NA,NA,NA
GAB,Africa,Gabon,2225728,7.859,23.1,4.45,2.976
GBR,Europe,United Kingdom,67886004,272.898,40.8,18.517,12.527
GBR_SCO,Europe,Scotland,5463300,69.76236385,40.8,18.517,12.527
GBRTENW,Europe,England Wales,59439840,393.2532799,40.8,18.517,12.527
GEO,Asia,Georgia,3989175,65.032,38.7,14.864,10.244
GGY,Europe,Guernsey,67052,NA,NA,NA,NA
GHA,Africa,Ghana,31072945,126.719,21.1,3.385,1.948
GIB,Europe,Gibraltar,33691,3457.1,NA,NA,NA
GIN,Africa,Guinea,13132792,51.755,19,3.135,1.733
GMB,Africa,Gambia,2416664,207.566,17.5,2.339,1.417
GNB,Africa,Guinea-Bissau,1967998,66.191,19.4,3.002,1.565
GNQ,Africa,Equatorial Guinea,1402985,45.194,22.4,2.846,1.752
GRC,Europe,Greece,10423056,83.479,45.3,20.396,14.524
GRD,North America,Grenada,112519,317.132,29.4,7.304,5.021
GRL,North America,Greenland,56772,0.137,NA,NA,NA
GTM,North America,Guatemala,17915567,157.834,22.9,4.694,3.016
GUM,Oceania,Guam,168783,304.128,31.4,9.551,5.493
GUY,South America,Guyana,786559,3.952,26.3,5.305,2.837
HKG,Asia,Hong Kong,7496988,7039.714,44.8,16.303,10.158
HND,North America,Honduras,9904608,82.805,24.9,4.652,2.883
HRV,Europe,Croatia,4105268,73.726,44,19.724,13.053
HTI,North America,Haiti,11402533,398.448,24.3,4.8,2.954
