pop,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,alias,lowstart,lowend
106766,35973.781,NA,NA,11.62,NA,NA,NA,NA,76.29,Aruba,6,8
38928341,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,Afghanistan,7,9
32866268,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,Angola,7,9
15002,NA,NA,NA,NA,NA,NA,NA,NA,81.88,Anguilla,6,8
2877800,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,Albania,6,8
77265,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,Andorra,6,8
9890400,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,UAE,7,9
45195777,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,Argentina,7,9
2963234,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,Armenia,7,9
97928,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,Antigua+Barbuda,6,8
25499881,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,Australia,12,2
9006400,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,Austria,6,8
10139175,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,Azerbaijan,7,9
11890781,702.225,71.7,293.068,6.05,NA,NA,6.144,0.8,61.58,Burundi,7,9
11589616,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,81.63,Belgium,6,8
12123198,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,Benin,7,9
26221,NA,NA,NA,NA,NA,NA,NA,NA,77.79,Bonaire St Eustatius+Saba,6,8
20903278,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,Burkina Faso,10,12
164689383,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,Bangladesh,7,9
6948445,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,Bulgaria,6,8
1701583,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,Bahrain,7,9
393248,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,Bahamas,6,8
3280815,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,Bosnia+Herzegovina,6,8
9449321,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,74.79,Belarus,6,8
397621,7824.362,NA,176.957,17.11,NA,NA,90.083,1.3,74.62,Belize,6,8
62273,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,Bermuda,6,8
11673029,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,Bolivia,7,9
212559409,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,Brazil,7,9
