polInf,collegeDegree,female,age,homeOwn,govt,length,id
Fairly High,Yes,No,49,Yes,No,58.400001525878906,1
Average,No,Yes,35,Yes,No,46.150001525878906,2
Very High,No,Yes,57,Yes,No,89.5199966430664,3
Average,No,No,63,Yes,No,92.62999725341797,4
Fairly High,Yes,Yes,40,Yes,No,58.849998474121094,4
Average,No,No,77,Yes,No,53.81999969482422,4
Average,No,No,43,Yes,No,58.470001220703125,5
Fairly High,Yes,Yes,47,Yes,No,53.02000045776367,5
Average,Yes,Yes,26,Yes,No,58.97999954223633,5
Very High,No,Yes,48,No,Yes,86,6
Average,No,Yes,41,Yes,No,52.93000030517578,7
Fairly High,No,No,41,Yes,No,48.20000076293945,7
Fairly High,No,No,37,No,No,91,8
Average,No,Yes,18,Yes,No,53.25,8
Fairly High,No,Yes,70,Yes,No,135.47000122070312,8
Fairly High,No,No,31,Yes,No,73.37999725341797,8
Average,No,Yes,18,Yes,No,66.7699966430664,9
Fairly Low,No,Yes,22,No,No,47.970001220703125,9
Very Low,No,Yes,60,No,Yes,77.05000305175781,9
Fairly High,Yes,Yes,44,Yes,No,53.56999969482422,9
Very Low,No,No,72,Yes,No,69.06999969482422,10
Fairly Low,No,Yes,43,Yes,No,44.599998474121094,10
Fairly High,No,Yes,57,No,No,88.970001220703125,10
Average,Yes,No,43,Yes,No,74.4800033569336,10
Average,No,Yes,63,No,No,77.220001220703125,10
Fairly Low,No,Yes,40,No,No,49.68000030517578,10
Very High,Yes,Yes,44,Yes,No,48.5,11
Average,No,No,29,No,No,67.4800033569336,11
Average,No,No,63,Yes,No,45.22999954223633,11
Fairly High,No,Yes,19,No,No,57.650001525878906,11
Fairly High,No,Yes,57,Yes,No,56.880001068115234,11
Average,No,Yes,78,Yes,No,92.68000030517578,11
Average,No,Yes,39,Yes,No,120.16999816894531,11
Fairly High,No,No,68,Yes,No,79.5999984741211,8
Average,Yes,No,35,No,No,58.900001525878906,12
Average,No,Yes,22,No,No,46.630001068115234,13
Average,No,Yes,76,Yes,No,76.029998779296875,11
Average,Yes,Yes,32,Yes,No,73,11
Fairly Low,No,No,53,Yes,No,52.58000183105469,11
Average,No,Yes,59,No,No,183.10000610351562,14
Fairly High,Yes,No,62,Yes,No,NA,14
Average,Yes,Yes,30,Yes,No,87.16999816894531,15
Fairly High,No,Yes,67,Yes,No,62.779998779296875,15
Fairly High,No,Yes,43,Yes,Yes,67.5,15
Average,No,Yes,34,No,Yes,77.81999969482422,15
Very High,Yes,Yes,69,Yes,No,64.44999694824219,15
Fairly Low,No,Yes,28,No,No,51.130001068115234,12
Fairly Low,No,Yes,19,No,No,52.22999954223633,12
Average,No,Yes,23,No,No,50.58000183105469,10
Fairly Low,Yes,Yes,30,Yes,No,63.650001525878906,10
Fairly High,No,No,37,Yes,No,63.099998474121094,12
Average,Yes,No,29,Yes,No,61.72999954223633,12
Fairly High,Yes,No,47,Yes,No,92.68000030517578,16
Very High,No,Yes,67,No,No,61.869998931884766,17
Very High,Yes,Yes,NA,Yes,No,62.25,17
Average,No,No,50,Yes,No,83.31999969482422,17
Average,No,No,37,Yes,No,81.9000015258789,17
Fairly High,No,Yes,45,No,No,90.12000274658203,17
Fairly Low,No,Yes,51,No,No,58.75,17
Fairly Low,Yes,Yes,59,Yes,No,52.130001068115234,17
Average,No,No,34,Yes,No,57.31999969482422,18
Average,No,Yes,45,Yes,No,56.75,18
Fairly Low,No,Yes,43,Yes,No,59.29999923706055,18
Average,No,Yes,56,Yes,No,85.6500015258789,16
Very High,No,Yes,71,Yes,No,82.6500015258789,19
Very High,No,Yes,60,No,No,109.97000122070312,19
Average,No,Yes,52,Yes,No,60.70000076293945,20
Fairly Low,Yes,Yes,36,Yes,No,60.43000030517578,21
Fairly Low,No,Yes,58,Yes,No,72.529998779296875,21
Fairly High,Yes,Yes,38,Yes,No,54.31999969482422,22
Average,Yes,Yes,58,Yes,No,74.6500015258789,22
Fairly Low,No,No,30,No,No,58.95000076293945,2
